Sentence,Emotion
상식이 맞지 아너음 고발 조치해라,분노
제가 마지막 희생일까요.,슬픔
아니 무슨 미용사원을 그런 애로 뽑았대?,놀람
솔까 마지막회는 좀 급마무리같아서 어처구니가없었다.,놀람
에..? 대표가...? 아무 소리 못 들었는데.,놀람
삼성꺼라고 빨아제끼더니 꼴 좋다...,혐오
진짜 멋있어요 ㅋㅋㅋ ♥♥♥,행복
에디ㅜㅜ 연기 너무잘해요 앞으로 더크게될 배우,행복
어휴 이런 나라에서 애 키우는 사람들이 정말 대단하신거다,놀람
어이없다~~아직도 분위기 모르는 인간들이 있구만~대가성없는 주식?,놀람
그 사람한테 대체 무슨 얘길 한 거예요?,분노
완전 놀랫어요,놀람
지금 일부러 져준거잖아. 그런 게 어딨어? 정정당당하게 다시 해. 얼른.,분노
승재 너무 귀여워~~ 사랑사랑하네♡♡,행복
이진욱사건정도 였어야 꽃뱀운운하는거지 유부남이 마사지업소간거 자체가 지탄받아야지,혐오
이추운 날씨에 국민들을 밖에 내몰고도 밥이 목구멍에 넘어가드냐.,분노
이제 끝났죠?,중립
오르지않는건아이성적과남편월급뿐이라더니,슬픔
 이대 입시담당관...책임이 없지...,혐오
좌좀들아 그러면 지금 노무현 사건도 관뚜껑 열어서 조사해보까 그게 니들 논리잖아ㅋㅋ,혐오
뭐? 아하하하. 진짜 꾸질꾸질 가지가지 한다. 하긴 식모언니랑 달리기 하면 창피해서라도 빨리 뛰겠다. 그치?,중립
어... 걱정했나보네... ,행복
노무현이 박근혜가 나오고 나서 빛나는 이유기도 하지.,분노
어머니! ,놀람
개망신 그렇지 한국 수준이 딱 허접이지,슬픔
에?,놀람
박효신 콘서트 같았어 멋있도라...,행복
오늘 첨 글쓰는 부산피돌인데 화장실 문도 열기전에 냄새가 심각한데중고딩들 왜 화장실 갔다가 나와선 문을 열어두고 가는거야?,분노
이슬비 대위 이쁘네...,행복
괜찮아. 괜찮아. 연애 제대로 하려면 이렇게 밤에도 보고 그러는 거야.,중립
올해는 몇명의 투수들 어깨 절단 날까ㅋㅋㅋ,중립
 니들이 공직자이기전에 먼저 인간이냐?,분노
사고친 덕에 업무 제대로 알게된것 같은데..,공포
음악 하는 애들 재수 없어. 다들 지 잘났다고. 부모 돈지랄. 재수 없어. ,혐오
담배도 안펴서 머리도 깨질거같이아프고...,슬픔
아니 왜지진났는지 그것좀분석을해라 좀,분노
날씨 시원하니 이런 기사도 정독하게 되는군,놀람
나.. 걱정돼. 이대로 그냥 주저 앉는 거 아닌가 싶어서.,중립
어차피 이별할 사이였잖아.,슬픔
일본기상정보는 70프로가까워요,슬픔
대상 받을 자격도 없음,혐오
좀 젊어져 보여? 그대로야?,중립
아직 종영안했냐?,놀람
예? 아아... 엄마가 곰국을 좀 끓이셔가지구... 근데... 우리집까지 어쩐 일이예요?,중립
당연히 대통이 탄핵되면 대통의 행적도 전면철회해야 하는거 아니냐,분노
사람이 쉬어보여서자기 자신 위에 올라서는 걸 보게 됩니다.0,슬픔
 여성분들 시청률이 꽤 놓은데 역사를 알고 보는 입장에서 너무 흥미진진합니다,행복
 오바들이태어남으로써 이자리에 잇는거잖아요??,행복
내 친구가 더러워서 그렇지 착한 놈인데.,중립
조금..,슬픔
으음，그게…… 오늘 회장이 결석했다길래 괜찮은가 해서.,슬픔
아 기대된다 엑소 정규 3집 리팩이라니..!!,행복
민아랑 전설의 가수 오리랑 동일인물 이라던데,놀람
그래서 우리 출판사가 몇 번째야.,중립
결국엔 벤츠가 이겻군,놀람
왠지 부실해보여 중국산은 전투기 꼬꾸라질것같아,혐오
캬 영화 한장면같다,행복
하~,분노
옛 정을 생각해서 안 죽인 줄 알아.,분노
내가 내 새끼들 놔두고 내가 왜 죽어! 당신이 먼저 죽어!,분노
건수하나 잡았다고 다들 신났구나.,분노
응. 위에서 관여하기 전에 자기들이 처리하고 싶은 거지.,중립
역시 한화이글스는 신기록 제조기팀이네~~ ㅋㅋㅋㅋㅋㅋ,행복
뭐?,놀람
 이지랄 하네? 나도 전자 생산부서 그쪽으로희망하는데 취업하기 졸러 힘들다. ㅠㅠ,슬픔
내기이기적이지너무  ....,슬픔
뭐? ,놀람
와 대박이다 !!!!!,놀람
개 호구행,혐오
어쩐지 맹장수술 이후로 몸이 안 아픈 데가 없다했더니...,혐오
그래도 많이 다친거 아니어서 너무 다행이다ㅜㅠㅜㅜ,행복
"수상한데,,,,,,",공포
 잠도안오고 자꾸만 울음나오고ㅠㅠ,슬픔
벌써 전남편이 있을 나이냐 ㅋ,놀람
 왜 하한가 맞아쓰까....,놀람
그렇게 조용히 여생을 마감하시라니까,혐오
제발 그런 식으로 비웃지 말래? 내가 혼자 오바 하는거 아니니까. 물리 선생은 나한테 이슬만 먹고 살 거 같다고 그러더라. 물어봐 거짓말인가.,분노
대충대충 알아본 거 아냐?,중립
걍 미국건들면 그걸로 끝나는거임ㅋㅋ,놀람
처음엔 많이 실망하고 탄핵해야한다 생각했지만 지금은 치밀한 계획하고 탄핵시킬려고 한고 같다,분노
아이고 이 기집애야!,분노
시작이 반이지!! 첫 무대 서는 게 어렵지. 이제 길이 열렸잖아. 생각해 봐. 언니... 7년 동안 그렇게 고생하면서 뒷바라지 했는데.,분노
저였다니까요.. 처음부터..,중립
뜻밖인걸. 네가 칭찬을 하다니.,놀람
얼른 가요.,중립
성기 크기가 너무 작아 고민입니다..,공포
9급 공무원 시험 합격하는게 박사되기 보다 어려운게 우리 현실이다.,슬픔
그게 제일편한거야..,슬픔
 진짜 힘드네영 ㅜㅜ,슬픔
어서 오도록. 자네는 화상을 주물러대는 짓 하나는 잘했었지.이 사진을 데포르메 해줬으면 하는데.,중립
말..장난이요?,슬픔
안 먹었어.,중립
우리나라 대통령은 중국 일본 등 강대국 한테는 꼼짝 못하는데 저 장관은...ㅜㅜ,놀람
 지금 보니 우연인지 뭔지...,공포
나한테 관심있어요? 남이사 어딜 가던 말던 무슨 상관인데요?,분노
내눈에만 미세먼지 나쁨이냐?,놀람
 한국배구 망친장본인이다,혐오
어디 가세요?,중립
어?,놀람
믿어도대는지가 의문이네,공포
시간을 낭비해서 예정대로 계획을 진행할 수 없으니까 말이지.,중립
"내일 출장가시니까, 계약건두 제가 싸인할게요. ",중립
그게 언제쯤일까.,중립
"아니, 완전 초기화되거든?",중립
막말하는 것들 많다주변에 말끝마다욕을 섞는애들이 있다,혐오
 앞다리에 자극오는거라고 해서 지금 멘붕왔어요,놀람
린드블럼 그동안 고생했어요,행복
"뭐? 스튜디오, 거긴 당신이 왜 가 있어?",놀람
지진임???????,놀람
오우 아침부터 대박...,놀람
맞구 안갈래. 때려.,슬픔
안에 들어가도 돼요?,중립
제가 본 웨딩드레스 중 가장 아름다웠습니다.,행복
 저도 많이아파요,슬픔
ㅎㅎ 부러운삼시세끼 먹고살기 참 쉬워 좋겠다,슬픔
"얼른 갔다와. 오우, 벌써 저기까지 갔네. 이야, 정말 빨라. 나도 빨리 가서 짐 싸가지고 와야겠다. ",놀람
겁나 뜨거운데 둔거아님?,놀람
언니야말로 미안해. 멋대로 따라가서 불쾌했지? 네가 진짜로 소중하다고 생각하는 사람이라면 언니도 응원해줄게.,중립
저도 합숙에 참여하나요?,중립
순실이 뒷통수 거하게 맞았노 ㅋㅋㅋㅋㅋ,행복
 아 힘드네요,슬픔
겪어보고도 저러니 참 믿을수가 없네,놀람
아우 열받아,분노
겨우 2년 어이가없네 꽃뱀 공화국답다,분노
 아님 정상체중인가요?,놀람
우린 우선 부패10위권안에서 벗어나자,분노
거의 여태까지 뺀 만큼을 더 빼야한다니...,놀람
이 강아지 되게 못생겼어.,중립
"그래두 이건 아니지 엄마! 결혼은 우리 두 사람이 하고 싶어서, 정말로 간절히 원해서 해야하는거지, 이렇게 엄마가 나서서 결혼하라구 떠미는건 아니잖어, 엄마! ",분노
순시리 주머니가 ㄹㅎ주머니니깐 그렇지,혐오
진짜로? 고마워!,행복
정부가 국민을 개돼지로 보니깐 기업도 소비자를 개호구로 보는군~ㅋㅋㅋㅋㅋ 살기좋은 개한망국~ㅋ,중립
 요즘 더더더 멋져보여서 큰일이예요!,행복
저 많이 마셨는데. ,중립
앉아봐. 내가 안마해줄게. ,중립
너무 축하드려요~,행복
갱년기가 이렇게 강력한거였나요!!,놀람
우리나라 노인들은 도움되는게 없다 진짜 후..,분노
어머어머어머 진짜 슬프네요...,슬픔
어린 여자랑 늙은 할아버지랑 둘이 같이 저녁에 밥먹는 것도 왠지 오해 살 것 같고 찜찜하네요.,공포
 장시호 인가 하는 게 연예인들 몰고 다녔다는데,놀람
저 승마살이 장난 아니에요;;,공포
"내 스타일이야!! 그리고, 누가 오고 싶어 왔어? ",분노
집안에선 마냥 추울것 같아,공포
제가 친구들이랑 있을때는 말도 많이 하고 그런데 물론 남고라서 여자 볼 일은 거의 없는데 가끔 막 머리 자르고 그럴때 말을 거의 안하거든요..,공포
근데 저는 지금 현재 턱이 심각한비대칭입니다.,슬픔
 그렇고보니 언제부턴가 가장 중요한 부분의 사람 이자 존재로 가기인되고있었징 모야??,놀람
결국 다른여자랑 하네요,놀람
저거 하다가 언제 한 번 큰 사고 날 것 같다,공포
이딴게 랭킹뉴스? 이세상에 뉴스거리가 그렇게 없냐? 기자 니가 어제 처먹은 돼지고기도 엽기사건으로 내보내지 그러냐?,혐오
앞이 안보인다.,공포
기숙사비도 좀 밀렸어.,중립
캉테 물건이네 진짜,놀람
역사 교과서에 그렇게 매달리는 대통령을 여태 본적이 없다..,놀람
여기 저기에서도백주부이야기네요~~ㅎ,행복
듣던중반가운 소리다.,행복
캬- 진짜 많이 컸다.,중립
실제로 초등학교 5학년때 자고일어나니 옷장옆 목도리에 엠피3가 걸려있었는데그럼 이건 어떻게설명할거냐고 물어보니까 자꾸 답변을 피하네요,공포
네...?,놀람
음 원숭이들 담배를 좋아하는군,혐오
그… 개 공포증 있잖아요.,중립
생일 축하 합니다♪,행복
도움주신분들께 감사드립니다.,행복
"아, 저기 있으시네요. 까만 안경 쓰셨죠?",중립
어.,중립
솔직히저작권만받고먹고살아도살만할듯ㅜ,슬픔
얼굴도 예쁜데 알뜰하니 살림도 잘하던데.. 앞으로 행복하셨으면 좋겠어요,행복
어떤 놈인지 실명공개하라..,혐오
우편향 교과서 OUT,혐오
"개야 짖어라, 기차는 간다.",중립
이색이들 맨날 중대발표라고 하고 까보면 아무것도 아니구 재탕꺼리나 되려나..,공포
최근엔??? 최군이 다 뒈져따.,분노
알바랑 병행해야되서 학원시간은 안맞고 인강들으려고 하는데 괜찮을까요?,공포
역시 개같은 대한민국 정부의 병신력은 만렙..,혐오
지리게 쳐하네시바것들,혐오
애플 상단바내리는거 삼성꺼 따라한거아님?,분노
조그만 수첩에 전화번호 빼곡히 적어 가지고 다니던 생각이 나는구나.,행복
 근데 어떻게 시작해야할지 모르겠어요..,공포
국민이 무엇을 원하는지 모르네,혐오
면접도 보는지 궁금합니당~ㅎㅎ,공포
ㅋㅋㅋㅋㅋㅋ사실이 이미 다 나와있는데 저걸 왜 부정하는지 원,혐오
우리의 피같은 혈세와 하늘로간 세월호의 아들ㆍ,슬픔
주40시간 근무 ?????????,놀람
축하해요바다누님 결혼까지~,행복
긍정적 에너지 넘쳐서 좋다 딘딘~^^,행복
벌써 다 마스터했어?,놀람
여기서 기력이 의미 있겠습니까? 당일 컨디션이죠.,중립
근데 여긴 왜 온 거야?,중립
축하해요 소연언니!!,행복
네?,놀람
내가 왜 동서한테.,중립
새만금을중국에영구임대했음좋겠다,혐오
 그냥 상관없는건거요?,공포
천번 만번 나한테 필요한건 예물이 아니라고 말했을 텐데.,분노
형아~ ,중립
"저기요, 저기요, 아저씨 있잖아요. 그러니까 제 친구가 그냥 잠깐 돈이 필요해서, 난 그냥 보증을 선다고 그런거였거든요?",중립
솔직히 삼성전자가 시총4.7조가 하루만에 증발하는 사태가 벌어지지 않았다면 옵니아 때처럼 그냥 물 흐르듯 입막고 넘어갔을꺼라 생각하는데 ㅋㅋ,혐오
뭐가 조심스럽나하야하라고 불쾌하다고 왜 말을 못해,분노
조심해라. 표식이 훼손되면 완주해봤자 탈락처리 되니까.,중립
니가 오늘 수고했어~~~~~~###########,중립
"왜, 뭐가 미안해? 니들 내 딸한테 뭔짓 했냐?",분노
병원에서 또 전화 왔어. 병원 안 나갈거야? 이제 뭐라고 둘러 될 핑계거리도 없어. 그만 좀 해!,분노
한국 남자들을 북유럽남자들과 집안일 도와주는 시간 비교 하지 말고 이런 현실이나 고처라 퇴근시간 자체가 다르다,혐오
식량 떨어지면 오겠죠? 가끔 연습이 부족하다싶으면 식량 떨어져도 섬에서 뱀도 잡아먹고 노루도 잡아먹기도 하니까 더 늦어질 수도 있고...,중립
 그래서 내가 지금 어떻게 해야할지 잘 모르겠다.,공포
이대은은 뽑을려나....,중립
"언니하구는 나, 안되나봐.",중립
자기가 당한 일이 아니라 이거지? ,중립
……그거 꽤 힘들지 않아요?,중립
뭘?,놀람
대일본제국에 신탁통치 부탁해야한다,혐오
돈없으면 서럽다??,슬픔
힉! 그렇게 많이 발라? 너무 진해~,놀람
박근혜 언제까지 대한민국을 추잡하게 만들건가....,혐오
3개월도 안된 아이를 맡기고 일 다녀도 되는걸까요?,공포
그럴 예정입니다.,중립
머리끄댕이를 질질 끌고서라도 데리고왓어야지,혐오
오빠방에서 같이 살거야.,중립
내년에도 계약금을 또 받을 수 있겠군.,중립
뻔뻔함의 극치 우병우,분노
 표현하는 순간 제가 받을 상처를 생각하면 그게 너무 마음아파요..,슬픔
지금 이시점에 이런단독을 치다니,놀람
 첫연애여서 정말모르겟어요ㅠ,공포
저 도로 범죄 일어나기 좋을듯.,공포
"ㅡ 이거, 그 녀석한테도 돌리는 게 나을까.",중립
이럴 때 어떡하면 좋죠?,공포
 감사합니다!,행복
그런데 매주 짜잘짜잘하게 하던 업데이트랑은 좀 차원이 다른 느낌이네요,행복
"감사합니다! ……그래서 말인데요, 선배님 생각은 어떠세요~?",행복
아 지금 머리너무 복잡해요.,슬픔
그럼 어떡해? 넌 도망갔는데 니네 엄만 나 자른다 그러고! 어떡하라고! 아~~엉~,슬픔
내 딸 내놔!!,분노
3년동안 바라봐왔던 학교에 떨어졌어요..,슬픔
"그래도, 조금은 변했단다.",중립
"변할 생각은, 없나 보구나.",슬픔
정말 아름답고 감동적인 사연입니다,행복
 너무 슬픈밤이다,슬픔
딱 1주일뒤에 군대에 들어가게되는데..,공포
집에잇는 속옷이 커지기시작햇어여..,공포
뭐?!! 이게 진짜 어디서!!,분노
믿어도 되는거냐........,공포
커리어가 무슨....,놀람
탄랙안해도 역사가 알거다 그지깽깽이들아,혐오
시간끌기해서버티기진짜지긋지긋하다,분노
진지하게 게임업계는 한번 싹 망한다음 새로 만들어야함,혐오
대만과 한국과 체질이 틀리구만,중립
둘 다 진중하고 자기 분야에서 엄청난 노력파이네ㅎㅎㅎㅎ 넘 잘 어울린다,혐오
감사관실에서요?,놀람
진짜요? 말두 안돼요. 수학!! 너~~무 싫어!! 수학은 진짜 쓰잘데기 없는 과목이에요. ,분노
근데 지금 너무 힘드네.오빠.,슬픔
친일파새끼들 대놓고 하네,혐오
힘들어서그냥 니 눈앞에서 자살하고싶어나 이렇게 괴롭게하니까 좋냐난 진짜 죽을거같은데,슬픔
아무거나 뭐?,중립
사장님!!! 이렇게 그냥 가면 어떡해요!! 눈으로 직접 보셨잖아요!!! 그 남자랑 변호사님이랑 결혼하면... 견딜 수 있겠어요?!!,분노
뭐?,놀람
천벌인가...ㄷㄷ,분노
그것도 연수원을 마쳐야 하는 거지. 그냥 가면 받아 주냐?,중립
눈온다는 뉴스가 어제있던거같은데 ㅋㅋㅋㅋ,놀람
 이쯤되면 아이유도 민망할듯,슬픔
개소리 마. 더 가까이 오면 다 죽어.,분노
말도 안되지 한명이 9년 집권이라니,혐오
고영태 멋지다 금메달감이다,행복
전지현 외모로만봐도 대한민국 탑인데연기력특A급들만 할수있다는 힘빼고 자연스러운 연기까지 한다능..ㄷㄷ,놀람
좋아요. 제가 드린 제품 안내서를 살펴보셨나요?,중립
"허이구 이쁜소리만 골라한다, 그래서.",중립
여기서요?... 둘이 같이?,중립
네? 애요? 말두 안돼요!!! 제가 무슨!!!  아… 애는 없어요. 당연히 없죠.,놀람
퇴근까지 16분 남았당 ㅇㅅㅇ 으흐흐 공조보러가야징 넘흐 기대됨!!ㅋ,행복
요즘 토스나 오픽 없이는 취업이 힘들다고들 하는데...,공포
형은 투자자라면서요?,중립
이러지마... 끝내는 마당에.. 차라리 당신이 날 미워해주는 게 편하니깐..,슬픔
이제야 일어났구나? 얼른 나와 지각하겠다.,놀람
진짜재밋더라 ㅋㅋㅋㅋㅋㅋ내취향,행복
그럼 계약서 쓰실래?,중립
 사귀는건 아닌데 좋아하는 감정을 전달하기가 너무 어렵네... ㅠㅠ,슬픔
도대체 어느 쪽이야?,놀람
알을 못 낳는 닭은 그냥 살처분이 답인!,분노
그렇게 자꾸 자기 마음 속이는거.. 피곤하지 않아요?,중립
"경력도 별로없고, 포트폴리오도 없기에 어디 이력서낼 엄두도 못하고있네요..",공포
실제로보니까 생각보다 작고 똥글 순하게생겼던디 그얼굴로 매날 만취해서 운전? ㅋ,놀람
여기 민자고속이라며?ㅋㅋㅋ,놀람
먹고 살기 힘들다며 사교육은 다 하는것 같내,혐오
치사하게 재판 앞두고 뭐하자는 거야. 반칙하지 마.,분노
사실은 500년 더 넘어.,중립
새누리공산당에게 필요한 것은 혁명과업을 선전할 도구뿐...,혐오
돌팔이 양성소 간호사관 폐지하라.,분노
넌 대체 여기 왜 있는 거야? 지금쯤 북유럽인지 피요르든지 갔어야 하는 거 아냐?,놀람
조그만 사업 시작했습니다.,중립
알바하고있는데어떤 아저씨가 공과금내러와서지로하고있는데아이고 이쁘네,행복
눈에 야욕이 그득그득하네,혐오
진심 씨-발-ㅡ새-끼들...,분노
내가?,놀람
근데 잡을 수 있을랑가 해외팬이라며,공포
그 와중에 게임하는 천명훈 개웃김ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,행복
진짜 블랙핑크로 확정인겨...?,놀람
"모든 남자가 다?그렇다는데, 저는 이말을 어떻게 받아드려야 할까요?",공포
"있지. 전부 해봤다, 그치?",행복
 나머지 끼도 없고 얼굴도 그리이쁘지도 않고 다른그룹이었으면 소리없이 없어질애들 같은데.,혐오
니가 감히 내 오토바이를 팔아? 그리고 또 함정을 파놓고 사람을 유인해? ,분노
인생의 답?? 글쎄... 난 과거는 싹 잊고 새 출발하고 싶은데...,슬픔
 무엇을 사가야 좋아할까요?ㅠㅠㅠ,공포
그래 왜? 내가 뭐 없는 말 지어내겠냐?,분노
동네 편의점 야간알바오늘 냈는데 연락이 과연 올지...0,공포
외계인이 이나라조종해서 3차세계대전이나 일으키지 증오스럽다,분노
짠도 안하고 이미 먹어버림,놀람
 방안은 불도 안켜져서검앴고.,공포
 나랑 이제 헤어지고 싶어서 그거 말하고 싶은거였어?,슬픔
ㅋㅋㅋ빡대갈 쉔징들은 걍 망하는게 답이다,분노
오늘 우리아가 태어난지 딱 일주일되는날입니다 !,행복
어서오세요! ,중립
 지금도 3개월에 한 번씩 병원에 다니고 있어서 안 쓰자니 맘에 걸리고 ?또 쓰자니 ?마이너스가 될 것 같고..,슬픔
정말 열심히 하시던걸요!!,행복
들으라고 그래! 내 친구 중에 자기 방 없는 애가 있는 줄 알아?,분노
싱글세 라는게 생긴다는이야기가사실인가요??,놀람
300일 기념으로 뭐 해줄거없을까요...ㅜㅜ?,공포
어머!! 오빠!! 왜 한국에 있었어? 여행 간다며!!!,놀람
지금 한참 기성용 컨디션 좋던데 한혜진의 힘이 크다,행복
정말?,놀람
아니 애는 저 혼자 낳았습니까?,분노
그니까 서로 만나서 풀어야 할걸 스브스 부터 안했잖아...ㅋㅋㅋ,혐오
남자들도 바세린넣지않나?,놀람
혹시나 남자친구가 시간 지나 우리 연애에 지겨워 할까봐 걱정이에요..,공포
드러난거만 대답하는구만-개싸가지!,분노
반성하고 진심으로 사과할 생각은 못하나,혐오
"어떻게 정리해야 되나, 그 생각해.",중립
도대체 아는게 뮌데,분노
 이나라의 주인은 저들이 아닐진데. . . . .,분노
어제 얘기 뭐?,중립
지진같지도않는 지진한번난거가지고 유난개유난지ㄹ염.병을떨어요아주,분노
 라는 칭찬을 듣고  기뻤어요..,행복
평생 잡아놔라. 늙어 디질때까지.,혐오
오빠랑 오빠네 딸은 서로 짝사랑하는 느낌이에요.,놀람
 그리구 화이팅 건강하시구요,행복
네...,중립
 좀 맞는 것 같아서 ..,놀람
침략하자 저세끼들 나라로 ㅎ,혐오
걱정마세요. 저도 돈 번답니다~,중립
니네..그러다 망한다.,공포
"2년이 짧냐? 그리구, 너 언제까지 형한테 붙어살라 그래?",분노
미혼모센터 알아보고있는데미혼모센터에 입소하게되면 회사는 못나가는건가요?,공포
 나보다야구못할거같은데,슬픔
이런 곳에서는 애를 안낳는게 답임,분노
 요즘 부쩍.^-^,행복
도둑놈 잡았다고 눌러 사냐? 치사하게.. 야! 너! 이게 진짜 확!,분노
거의 매주 제작진 방송에 나오고 멤버들이랑 투닥거려서 진짜 우애 쩔고 친한줄 알았네,공포
우리보고 도망간 계주 아줌마를 잡아서 데려가라구요?,놀람
그래서 앞으로 더 잘 둘 거 같습니까?,중립
왜요? 무슨 걱정이 있어요?,놀람
둘이 결혼하면 안되나 잘 어울리는데,행복
제발 한번만 다시 생각해봐요,슬픔
 집사람이 그날 방송보고 제법 많이 만들어 놓은 맛간장(메드인 백가네) 이 원이랍니다.,행복
거제사람으로 너무나 부끄럽고 죄송합니다.,슬픔
징사 끝나면 외제차타고 집가는 탈세범들이??,놀람
실화임?,놀람
그거 또 마시면 내 머리카락 다 뽑아버린대.,슬픔
버스안에서 오지게처맞겟네,혐오
"중학교, 고등학교도 있는데.",행복
 무리해서 하다가 아프면 캐럿들 마음도 아파요ㅜㅜ,공포
왜 그래?,중립
저게 무슬림의순교냐?,분노
응. 우리 이제 진짜 애인이야. 누나 아냐. ,중립
 진까 꼴값한다.,분노
"직업상 야근이 잦고, 너무 바빠서평일에는 제 개인시간이 1도 없습니다.",슬픔
"도대체, 무슨 생각으로 각서를 쓰신 거예요?",중립
와 5% 여기 다 와있나 보네 ㅋㅋ,놀람
 국민들은 너무 지쳤습니다,슬픔
당신... 애들 시험 보는 중이라 참습니다. 나가주십쇼. 다시는 이 학교에 나타나지 마십쇼.,분노
집에서 쉽게 요리할수 있는 레시피 감사합니다.,행복
 어쩌실겁니까~,공포
왜 이렇게 목소리가 피곤해요? 아까 영화 볼 때부터 힘들어하던데...무리한거예요?,중립
데려가 줘야 갈 거 아냐.,중립
기침이 심하다보니 애기한테 안좋은건 아닌지 걱정도되네요ㅠ,슬픔
둘 다 서로 호감 있는거 같던데.. 쇼윈도 쇼윈도 하지만 서로 호감이 있는건 맞는듯,중립
댓글보니 알바들 엄청 풀었네 ㅎㅎ,놀람
떠도는 녹음파일을 들어본사람이 성남시장님 욕설이 굉장하다던데~ 국민들이 그걸 이해할런지~~,혐오
대한민국을 사랑하는 마음이 남아 있다면 스스로 물러나셔야합니다,혐오
지금 대부분 귀경중일텐데 버러지같은 알바들은 가족도 없나보네. 사생아같은 색히들,혐오
저 차단했는지 볼려고그사람 번호삭제하고 카톡에서삭제했는데만약 안했으면 친구추전으로 뜨나요..?,슬픔
 당황하는 모습이 역력하다.,중립
오함마 갖고와라,분노
저년이 아직도 저러는 걸 지켜봐야 되는걸 보면 민주주의 란게 참 힘들구나,혐오
……너，대단하구나.,놀람
진짜 억울해요,슬픔
"그래도.. 우리 김연아님은 벤쿠버까지 가니까 좋자나요,,",슬픔
 자백 안 해도 그동안 나온 증거만으로도 무기징역감이다!,분노
청와대로 떨어져라,분노
제대로좀 해라 삼송들아. ㅉㅉ,혐오
국가 부패지수에는 눈귀 닫고 아스팔트 위에 싸질러 놓은 똥이 거름이라며 치우지 않으려는 꼴.,분노
언제쯤 끝나요?,중립
박혜원은 고등학생아닌가?,놀람
갑자기 왜 그러세요?,놀람
무조건 1번을외치던 우리 아무지도 이제슬슬 닭욕하기시작ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,행복
내가 뭘?,놀람
복에겨운소리일수있지만일이너무없는거도 정말힘드네요ㅠㅠㅠ,슬픔
관련된사람다 재산몰수하라고!!!!!!!!!,분노
 장갑 안쓰고 밖에 나갔다는 손이 얼어붙음 ㅠㅠ...,공포
봐도봐도 추한놈이네,혐오
"그러니까. 내 걱정은 물론 하지도 않을뿐더러, 내가 걱정할 필요도 없는 사람인데 괜히 왔어. 비서가 하도 옆에서 오버를 떨어대서. 갈게. ",중립
저랑 진심으로 사귀다가 권태기가 와서 헤어졌구요,슬픔
부품이랑 살때받았던거 다 들고 가야되나?,중립
미친거아니야????,놀람
저도 힘들긴하지만...,슬픔
그럴까요? 같이 가서 골라요!,행복
"그거 말고, 밥! 밥 먹고 싶어.",분노
그러니까 왜 나한테 부탁을 해애?,분노
그 요즘에 글 올려주시는 이한결?,놀람
추워죽겠네! 전화 왜 안 받냐?,분노
나 떨고 있니 그래,놀람
 그럴일은 없겠지?,공포
아 아 아!! 아파요.,분노
 ... 너 오늘 유난히 대답 잘 한다? 라임 맞춰가면서.,혐오
아무도 그사람의자리를 대신해줄수없을것같아요,슬픔
교육감이 교육을 엉망으로 만들었다,분노
박근혜뽑아놓구 남에나라 대통령걱정하네ㅋ,혐오
한 달 만에 처음 오늘 한 건 했어.,중립
칼은 방통위부터 정리 하는게 순서가 먼저인뜻~!!,분노
거 시방 외노자 거 뭐시여 그 캭 퉷 막 그 확 마 댓글 욕싸지르는 그 어따 무서분거 캭 퉷 추방하쇼잉 거 염전 가 화구마 죠심하쇼잉,공포
그냥 전쟁이나나라 변1신같은 대한밈굳,혐오
빨리 탄핵시켜야지..면상 나오는것도 보기싫다,혐오
놀러 잘다니내 개부럽다,슬픔
"됐어, 됐어, 얼른 대답이나 해.",분노
저게 휴대폰 사진이라고??,놀람
진심이.. 되려고 한다구? ,놀람
"어라, 이게 왜 이렇게 되지.?",중립
이럴만한 가치 없어요. 저 이 학교 오구 싶어 온것도 아니구- ,슬픔
매우 바람직한 개선안입니다~굳,행복
이런 증상은 왜 그런 건가요?,공포
여자도 자기가 능력있으면 무조건 잘생기고 어린남자 만나지,혐오
지금 딱 70이예요!,행복
좀 누울래요? ,중립
 아빠회사에서 일하느라 고생이 많지.,슬픔
이거 아이디어 낸 짱구 얼굴 좀 보고싶다.,행복
짱개들 해도너무 했다,혐오
퀄컴이 우리나라법을 우째 다아냐?,놀람
일본이랑 전라도에 지진좀 팍팍 일어나라,분노
미개하고 무지한 짱꼴라 나라에 국제사회가 편들어줄리없지 당연..,혐오
늘 뭔 사업 한다고 하면 그 돈은 대부분 증발해서 누군가의 호주머니로....,혐오
 이종열선수는 오늘 4타수 3안타에 호수비 2갠가 ^^,행복
그냥 갚지 않긴 좀 미안했나부지?,중립
진짜 자유다멋있어요,행복
뭐?,놀람
